iter	Passed	Remaining
1025	29633	576231
1026	29662	576214
1027	29695	576266
1028	29726	576269
1029	29754	576225
1030	29787	576279
1031	29816	576245
1032	29848	576280
1033	29877	576256
1034	29907	576249
1035	29938	576250
1036	29968	576254
1037	29998	576237
1038	30027	576224
1039	30054	576158
1040	30083	576129
1041	30113	576107
1042	30143	576099
1043	30172	576085
1044	30203	576095
1045	30234	576099
1046	30264	576097
1047	30293	576061
1048	30322	576037
1049	30351	576004
1050	30382	576019
1051	30408	575945
1052	30438	575940
1053	30469	575935
1054	30500	575947
1055	30530	575939
1056	30560	575935
1057	30588	575885
1058	30617	575870
1059	30649	575898
1060	30679	575885
1061	30709	575880
1062	30739	575868
1063	30769	575855
1064	30797	575803
1065	30827	575802
1066	30859	575832
1067	30889	575830
1068	30919	575820
1069	30949	575803
1070	30979	575800
1071	31007	575743
1072	31035	575707
1073	31065	575697
1074	31095	575692
1075	31126	575703
1076	31154	575656
1077	31184	575647
1078	31214	575624
1079	31244	575617
1080	31274	575616
1081	31303	575588
1082	31332	575554
1083	31365	575599
1084	31393	575562
1085	31424	575564
1086	31455	575571
1087	31483	575532
1088	31513	575528
1089	31545	575550
1090	31577	575577
1091	31608	575582
1092	31639	575591
1093	31668	575564
1094	31700	575586
1095	31729	575560
1096	31758	575531
1097	31787	575507
1098	31817	575491
1099	31845	575442
1100	31874	575426
1101	31904	575411
1102	31933	575380
1103	31962	575346
1104	31990	575312
1105	32022	575326
1106	32050	575281
1107	32078	575236
1108	32108	575225
1109	32137	575206
1110	32167	575196
1111	32197	575191
1112	32227	575168
1113	32260	575221
1114	32291	575215
1115	32322	575223
1116	32354	575256
1117	32386	575282
1118	32414	575231
1119	32443	575209
1120	32473	575190
1121	32503	575189
1122	32533	575169
1123	32562	575153
1124	32592	575129
1125	32622	575128
1126	32652	575104
1127	32679	575056
1128	32706	574987
1129	32733	574928
1130	32764	574934
1131	32792	574883
1132	32821	574861
1133	32849	574812
1134	32880	574810
1135	32909	574790
1136	32939	574770
1137	32968	574738
1138	32994	574674
1139	33024	574663
1140	33054	574642
1141	33086	574659
1142	33114	574630
1143	33143	574601
1144	33174	574597
1145	33203	574564
1146	33232	574545
1147	33260	574501
1148	33289	574471
1149	33320	574468
1150	33353	574520
1151	33384	574514
1152	33413	574496
1153	33442	574461
1154	33470	574415
1155	33500	574411
1156	33527	574343
1157	33557	574323
1158	33586	574298
1159	33618	574324
1160	33648	574308
1161	33680	574335
1162	33709	574305
1163	33739	574303
1164	33769	574286
1165	33797	574244
1166	33827	574223
1167	33856	574189
1168	33884	574152
1169	33916	574166
1170	33944	574129
1171	33974	574121
1172	34005	574120
1173	34034	574096
1174	34062	574045
1175	34092	574028
1176	34120	573985
1177	34149	573960
1178	34181	573981
1179	34211	573970
1180	34237	573896
1181	34268	573895
1182	34298	573880
1183	34329	573885
1184	34357	573838
1185	34388	573854
1186	34416	573794
1187	34446	573790
1188	34478	573807
1189	34512	573857
1190	34540	573810
1191	34570	573798
1192	34600	573796
1193	34631	573795
1194	34662	573796
1195	34692	573787
1196	34721	573759
1197	34751	573751
1198	34780	573717
1199	34811	573719
1200	34839	573683
1201	34870	573677
1202	34897	573617
1203	34926	573587
1204	34955	573552
1205	34985	573545
1206	35012	573493
1207	35041	573451
1208	35068	573395
1209	35098	573383
1210	35127	573357
1211	35158	573352
1212	35186	573316
1213	35213	573255
1214	35243	573244
1215	35273	573221
1216	35303	573214
1217	35332	573183
1218	35361	573148
1219	35388	573092
1220	35419	573091
1221	35448	573069
1222	35478	573046
1223	35505	572997
1224	35536	572988
1225	35565	572959
1226	35595	572954
1227	35625	572930
1228	35653	572894
1229	35681	572849
1230	35710	572817
1231	35740	572807
1232	35770	572798
1233	35798	572750
1234	35826	572699
1235	35855	572668
1236	35886	572680
1237	35915	572652
1238	35944	572614
1239	35975	572621
1240	36004	572595
1241	36036	572607
1242	36066	572599
1243	36092	572525
1244	36122	572497
1245	36153	572507
1246	36180	572441
1247	36207	572385
1248	36235	572340
1249	36265	572330
1250	36293	572287
1251	36323	572275
1252	36353	572261
1253	36383	572247
1254	36412	572218
1255	36444	572232
1256	36471	572177
1257	36500	572136
1258	36528	572091
1259	36558	572078
1260	36586	572043
1261	36617	572037
1262	36647	572031
1263	36679	572036
1264	36708	572016
1265	36738	572002
1266	36767	571973
1267	36797	571959
1268	36827	571938
1269	36856	571913
1270	36888	571927
1271	36916	571891
1272	36946	571869
1273	36976	571862
1274	37005	571821
1275	37033	571779
1276	37064	571782
1277	37091	571732
1278	37122	571733
1279	37151	571698
1280	37179	571659
1281	37208	571629
1282	37237	571589
1283	37265	571556
1284	37295	571529
1285	37326	571541
1286	37356	571523
1287	37385	571491
1288	37415	571476
1289	37445	571462
1290	37473	571416
1291	37500	571360
1292	37531	571355
1293	37563	571373
1294	37590	571320
1295	37622	571331
1296	37652	571318
1297	37682	571298
1298	37711	571279
1299	37739	571223
1300	37769	571217
1301	37798	571190
1302	37826	571148
1303	37857	571136
1304	37885	571095
1305	37916	571103
1306	37947	571097
1307	37978	571096
1308	38008	571090
1309	38040	571099
1310	38072	571111
1311	38100	571072
1312	38130	571060
1313	38160	571037
1314	38190	571021
1315	38219	570994
1316	38247	570948
1317	38274	570893
1318	38303	570867
1319	38333	570854
1320	38363	570837
1321	38392	570800
1322	38421	570780
1323	38448	570713
1324	38478	570697
1325	38507	570674
1326	38534	570615
1327	38561	570552
1328	38591	570540
1329	38621	570518
1330	38649	570473
1331	38677	570430
1332	38707	570417
1333	38737	570411
1334	38769	570413
1335	38799	570409
1336	38829	570391
1337	38861	570403
1338	38891	570391
1339	38921	570370
1340	38950	570351
1341	38982	570362
1342	39012	570346
1343	39041	570307
1344	39070	570279
1345	39099	570259
1346	39130	570259
1347	39160	570245
1348	39190	570221
1349	39218	570171
1350	39246	570127
1351	39277	570139
1352	39307	570114
1353	39336	570081
1354	39364	570048
1355	39395	570042
1356	39425	570022
1357	39456	570027
1358	39485	570003
1359	39514	569961
1360	39546	569981
1361	39574	569938
1362	39603	569908
1363	39630	569851
1364	39659	569825
1365	39690	569810
1366	39719	569789
1367	39748	569754
1368	39780	569764
1369	39812	569780
1370	39840	569733
1371	39872	569754
1372	39900	569705
1373	39929	569673
1374	39957	569638
1375	39989	569640
1376	40017	569601
1377	40047	569588
1378	40074	569527
1379	40101	569471
1380	40134	569501
1381	40164	569487
1382	40193	569454
1383	40222	569420
1384	40252	569407
1385	40283	569399
1386	40312	569372
1387	40342	569363
1388	40374	569366
1389	40403	569343
1390	40433	569330
1391	40464	569327
1392	40493	569289
1393	40523	569278
1394	40553	569261
1395	40586	569289
1396	40616	569266
1397	40643	569206
1398	40671	569172
1399	40700	569135
1400	40730	569118
1401	40759	569095
1402	40789	569069
1403	40819	569062
1404	40847	569022
1405	40875	568974
1406	40905	568949
1407	40932	568898
1408	40961	568866
1409	40988	568813
1410	41020	568819
1411	41051	568814
1412	41082	568815
1413	41110	568776
1414	41139	568737
1415	41169	568725
1416	41198	568698
1417	41228	568675
1418	41256	568638
1419	41285	568611
1420	41316	568608
1421	41345	568569
1422	41374	568543
1423	41402	568494
1424	41430	568453
1425	41460	568443
1426	41490	568416
1427	41520	568402
1428	41547	568347
1429	41578	568340
1430	41606	568306
1431	41634	568261
1432	41662	568208
1433	41687	568125
1434	41716	568094
1435	41750	568142
1436	41781	568130
1437	41811	568115
1438	41842	568109
1439	41873	568107
1440	41904	568108
1441	41933	568083
1442	41961	568041
1443	41992	568029
1444	42023	568030
1445	42054	568024
1446	42081	567972
1447	42113	567979
1448	42144	567976
1449	42171	567919
1450	42204	567944
1451	42234	567922
1452	42262	567880
1453	42291	567853
1454	42322	567851
1455	42356	567881
1456	42386	567864
1457	42415	567841
1458	42445	567816
1459	42475	567803
1460	42503	567762
1461	42532	567736
1462	42563	567727
1463	42594	567724
1464	42624	567708
1465	42657	567725
1466	42683	567653
1467	42711	567617
1468	42741	567596
1469	42773	567613
1470	42807	567643
1471	42837	567622
1472	42864	567574
1473	42893	567537
1474	42924	567536
1475	42957	567551
1476	42987	567545
1477	43017	567518
1478	43047	567500
1479	43076	567477
1480	43106	567453
1481	43134	567409
1482	43163	567379
1483	43193	567365
1484	43220	567308
1485	43249	567277
1486	43278	567246
1487	43307	567213
1488	43336	567189
1489	43367	567183
1490	43398	567182
1491	43426	567134
1492	43455	567100
1493	43484	567080
1494	43513	567039
1495	43547	567079
1496	43576	567041
1497	43605	567014
1498	43634	566981
1499	43662	566936
1500	43692	566922
1501	43720	566887
1502	43751	566880
1503	43778	566822
1504	43808	566804
1505	43839	566792
1506	43870	566789
1507	43897	566742
1508	43925	566695
1509	43955	566672
1510	43983	566632
1511	44013	566612
1512	44042	566579
1513	44072	566563
1514	44099	566510
1515	44133	566550
1516	44164	566535
1517	44195	566540
1518	44224	566506
1519	44257	566524
1520	44285	566487
1521	44315	566458
1522	44344	566437
1523	44372	566388
1524	44402	566374
1525	44430	566330
1526	44460	566309
1527	44491	566306
1528	44520	566277
1529	44550	566256
1530	44581	566255
1531	44611	566235
1532	44641	566221
1533	44669	566173
1534	44697	566124
1535	44726	566102
1536	44757	566090
1537	44785	566052
1538	44816	566040
1539	44845	566019
1540	44877	566023
1541	44906	565990
1542	44935	565960
1543	44966	565956
1544	44994	565915
1545	45025	565905
1546	45053	565856
1547	45083	565843
1548	45113	565830
1549	45143	565804
1550	45173	565784
1551	45201	565750
1552	45232	565736
1553	45261	565716
1554	45291	565689
1555	45321	565667
1556	45350	565648
1557	45379	565617
1558	45409	565590
1559	45436	565537
1560	45467	565533
1561	45495	565484
1562	45524	565454
1563	45555	565450
1564	45585	565433
1565	45614	565402
1566	45642	565365
1567	45670	565313
1568	45698	565275
1569	45728	565252
1570	45757	565223
1571	45784	565166
1572	45812	565124
1573	45842	565115
1574	45871	565073
1575	45900	565042
1576	45928	565007
1577	45959	564995
1578	45987	564961
1579	46016	564923
1580	46044	564885
1581	46071	564831
1582	46101	564804
1583	46130	564783
1584	46158	564739
1585	46190	564736
1586	46222	564742
1587	46252	564733
1588	46282	564705
1589	46310	564668
1590	46343	564691
1591	46371	564640
1592	46401	564622
1593	46431	564604
1594	46465	564630
1595	46494	564603
1596	46524	564592
1597	46553	564556
1598	46582	564520
1599	46611	564488
1600	46641	564477
1601	46672	564463
1602	46701	564441
1603	46729	564398
1604	46760	564384
1605	46790	564371
1606	46820	564355
1607	46849	564323
1608	46878	564285
1609	46907	564264
1610	46938	564251
1611	46970	564260
1612	47002	564262
1613	47031	564236
1614	47063	564233
1615	47097	564264
1616	47125	564225
1617	47153	564183
1618	47182	564149
1619	47212	564127
1620	47245	564144
1621	47274	564120
1622	47303	564089
1623	47335	564086
1624	47363	564044
1625	47393	564028
1626	47421	563986
1627	47450	563953
1628	47478	563917
1629	47506	563868
1630	47537	563863
1631	47565	563823
1632	47595	563806
1633	47624	563772
1634	47654	563751
1635	47684	563732
1636	47716	563734
1637	47746	563716
1638	47773	563668
1639	47805	563667
1640	47838	563680
1641	47868	563659
1642	47896	563626
1643	47924	563580
1644	47954	563558
1645	47987	563572
1646	48016	563547
1647	48047	563536
1648	48078	563525
1649	48106	563491
1650	48136	563473
1651	48165	563442
1652	48195	563415
1653	48225	563399
1654	48254	563365
1655	48284	563345
1656	48315	563345
1657	48345	563324
1658	48376	563308
1659	48406	563293
1660	48437	563281
1661	48468	563282
1662	48500	563285
1663	48531	563269
1664	48560	563246
